datetime,count
2011-01-20 00:00:00,13.65
2011-01-20 01:00:00,4.95
2011-01-20 02:00:00,3.39
2011-01-20 03:00:00,2.9
2011-01-20 04:00:00,2.53
2011-01-20 05:00:00,5.58
2011-01-20 06:00:00,32.74
2011-01-20 07:00:00,92.15
2011-01-20 08:00:00,215.2
2011-01-20 09:00:00,123.3
2011-01-20 10:00:00,61.48
2011-01-20 11:00:00,62.7
2011-01-20 12:00:00,79.88
2011-01-20 13:00:00,75.7
2011-01-20 14:00:00,80.09
2011-01-20 15:00:00,85.0
2011-01-20 16:00:00,84.89
2011-01-20 17:00:00,161.74
2011-01-20 18:00:00,157.44
2011-01-20 19:00:00,102.11
2011-01-20 20:00:00,71.14
2011-01-20 21:00:00,50.33
2011-01-20 22:00:00,41.57
2011-01-20 23:00:00,26.89
2011-01-21 00:00:00,16.81
2011-01-21 01:00:00,5.89
2011-01-21 02:00:00,4.62
2011-01-21 03:00:00,3.19
2011-01-21 04:00:00,2.47
2011-01-21 05:00:00,3.86
2011-01-21 06:00:00,32.1
2011-01-21 07:00:00,92.27
2011-01-21 08:00:00,182.49
2011-01-21 09:00:00,124.2
2011-01-21 10:00:00,55.36
2011-01-21 11:00:00,61.88
2011-01-21 12:00:00,65.47
2011-01-21 13:00:00,63.94
2011-01-21 14:00:00,65.48
2011-01-21 15:00:00,61.92
2011-01-21 16:00:00,63.21
2011-01-21 17:00:00,148.27
2011-01-21 18:00:00,149.11
2011-01-21 19:00:00,102.2
2011-01-21 20:00:00,57.49
2011-01-21 21:00:00,39.17
2011-01-21 22:00:00,31.02
2011-01-21 23:00:00,21.59
2011-01-22 00:00:00,23.35
2011-01-22 01:00:00,18.6
2011-01-22 02:00:00,16.12
2011-01-22 03:00:00,7.67
2011-01-22 04:00:00,2.84
2011-01-22 06:00:00,3.2
2011-01-22 07:00:00,42.12
2011-01-22 08:00:00,44.28
2011-01-22 09:00:00,45.38
2011-01-22 10:00:00,48.52
2011-01-22 11:00:00,51.59
2011-01-22 12:00:00,55.89
2011-01-22 13:00:00,70.73
2011-01-22 14:00:00,59.78
2011-01-22 15:00:00,60.29
2011-01-22 16:00:00,55.89
2011-01-22 17:00:00,73.2
2011-01-22 18:00:00,48.31
2011-01-22 19:00:00,46.89
2011-01-22 20:00:00,42.62
2011-01-22 21:00:00,37.4
2011-01-22 22:00:00,27.79
2011-01-22 23:00:00,18.69
2011-01-23 00:00:00,26.55
2011-01-23 01:00:00,23.53
2011-01-23 02:00:00,18.94
2011-01-23 03:00:00,13.81
2011-01-23 05:00:00,3.1
2011-01-23 06:00:00,3.21
2011-01-23 07:00:00,13.8
2011-01-23 08:00:00,25.59
2011-01-23 09:00:00,27.15
2011-01-23 10:00:00,52.47
2011-01-23 11:00:00,53.33
2011-01-23 12:00:00,62.78
2011-01-23 13:00:00,53.57
2011-01-23 14:00:00,62.96
2011-01-23 15:00:00,62.52
2011-01-23 16:00:00,61.69
2011-01-23 17:00:00,56.84
2011-01-23 18:00:00,50.59
2011-01-23 19:00:00,46.31
2011-01-23 20:00:00,37.46
2011-01-23 21:00:00,33.66
2011-01-23 22:00:00,21.78
2011-01-23 23:00:00,17.07
2011-01-24 00:00:00,11.94
2011-01-24 01:00:00,4.42
2011-01-24 03:00:00,2.11
2011-01-24 04:00:00,2.44
2011-01-24 05:00:00,5.03
2011-01-24 06:00:00,28.46
2011-01-24 07:00:00,74.8
2011-01-24 08:00:00,157.57
2011-01-24 09:00:00,102.3
2011-01-24 10:00:00,48.03
2011-01-24 11:00:00,43.72
2011-01-24 12:00:00,41.01
2011-01-24 13:00:00,43.56
2011-01-24 14:00:00,42.68
2011-01-24 15:00:00,53.2
2011-01-24 16:00:00,58.44
2011-01-24 17:00:00,145.05
2011-01-24 18:00:00,141.84
2011-01-24 19:00:00,97.03
2011-01-24 20:00:00,59.3
2011-01-24 21:00:00,42.14
2011-01-24 22:00:00,24.85
2011-01-24 23:00:00,16.7
2011-01-25 00:00:00,9.68
2011-01-25 01:00:00,4.33
2011-01-25 02:00:00,1.87
2011-01-25 04:00:00,1.94
2011-01-25 05:00:00,3.97
2011-01-25 06:00:00,34.0
2011-01-25 07:00:00,84.2
2011-01-25 08:00:00,155.02
2011-01-25 09:00:00,121.01
2011-01-25 10:00:00,52.94
2011-01-25 11:00:00,53.73
2011-01-25 12:00:00,63.95
2011-01-25 13:00:00,65.04
2011-01-25 14:00:00,71.74
2011-01-25 15:00:00,74.24
2011-01-25 16:00:00,85.38
2011-01-25 17:00:00,196.37
2011-01-25 18:00:00,160.33
2011-01-25 19:00:00,105.06
2011-01-25 20:00:00,74.76
2011-01-25 21:00:00,48.28
2011-01-25 22:00:00,35.41
2011-01-25 23:00:00,19.56
2011-01-26 00:00:00,11.17
2011-01-26 01:00:00,5.82
2011-01-26 02:00:00,3.36
2011-01-26 05:00:00,3.26
2011-01-26 06:00:00,26.11
2011-01-26 07:00:00,74.82
2011-01-26 08:00:00,131.62
2011-01-26 09:00:00,101.77
2011-01-26 10:00:00,44.48
2011-01-26 11:00:00,36.95
2011-01-26 12:00:00,34.66
2011-01-26 13:00:00,37.16
2011-01-26 14:00:00,38.57
2011-01-26 15:00:00,53.88
2011-01-26 16:00:00,60.81
2011-01-26 17:00:00,115.83
2011-01-27 16:00:00,83.32
2011-01-27 17:00:00,152.91
2011-01-27 18:00:00,136.68
2011-01-27 19:00:00,99.32
2011-01-27 20:00:00,71.96
2011-01-27 21:00:00,47.51
2011-01-27 22:00:00,37.32
2011-01-27 23:00:00,22.98
2011-01-28 00:00:00,16.01
2011-01-28 01:00:00,6.67
2011-01-28 02:00:00,2.44
2011-01-28 03:00:00,2.63
2011-01-28 05:00:00,6.57
2011-01-28 06:00:00,30.73
2011-01-28 07:00:00,61.48
2011-01-28 08:00:00,132.45
2011-01-28 09:00:00,76.42
2011-01-28 10:00:00,57.91
2011-01-28 11:00:00,62.9
2011-01-28 12:00:00,64.3
2011-01-28 13:00:00,66.91
2011-01-28 14:00:00,75.45
2011-01-28 15:00:00,72.59
2011-01-28 16:00:00,85.2
2011-01-28 17:00:00,150.39
2011-01-28 18:00:00,141.91
2011-01-28 19:00:00,96.8
2011-01-28 20:00:00,72.5
2011-01-28 21:00:00,45.0
2011-01-28 22:00:00,39.81
2011-01-28 23:00:00,26.64
2011-01-29 00:00:00,30.07
2011-01-29 01:00:00,22.12
2011-01-29 02:00:00,19.63
2011-01-29 03:00:00,9.86
2011-01-29 04:00:00,2.72
2011-01-29 06:00:00,2.67
2011-01-29 07:00:00,33.42
2011-01-29 08:00:00,57.45
2011-01-29 09:00:00,51.05
2011-01-29 10:00:00,57.83
2011-01-29 11:00:00,62.14
2011-01-29 12:00:00,69.73
2011-01-29 13:00:00,78.49
2011-01-29 14:00:00,75.0
2011-01-29 15:00:00,76.04
2011-01-29 16:00:00,80.41
2011-01-29 17:00:00,83.2
2011-01-29 18:00:00,74.45
2011-01-29 19:00:00,72.35
2011-01-29 20:00:00,54.79
2011-01-29 21:00:00,39.55
2011-01-29 22:00:00,28.19
2011-01-29 23:00:00,16.22
2011-01-30 00:00:00,32.64
2011-01-30 01:00:00,30.75
2011-01-30 02:00:00,28.97
2011-01-30 03:00:00,16.79
2011-01-30 04:00:00,3.05
2011-01-30 05:00:00,2.52
2011-01-30 07:00:00,8.25
2011-01-30 08:00:00,23.2
2011-01-30 09:00:00,31.12
2011-01-30 10:00:00,55.16
2011-01-30 11:00:00,64.6
2011-01-30 12:00:00,88.06
2011-01-30 13:00:00,70.56
2011-01-30 14:00:00,72.45
2011-01-30 15:00:00,75.74
2011-01-30 16:00:00,76.56
2011-01-30 17:00:00,71.98
2011-01-30 18:00:00,68.65
2011-01-30 19:00:00,65.02
2011-01-30 20:00:00,58.07
2011-01-30 21:00:00,32.37
2011-01-30 22:00:00,19.84
2011-01-30 23:00:00,14.94
2011-01-31 00:00:00,13.06
2011-01-31 01:00:00,4.62
2011-01-31 02:00:00,2.54
2011-01-31 03:00:00,2.58
2011-01-31 04:00:00,2.19
2011-01-31 05:00:00,2.54
2011-01-31 06:00:00,32.59
2011-01-31 07:00:00,79.42
2011-01-31 08:00:00,140.87
2011-01-31 09:00:00,93.75
2011-01-31 10:00:00,44.37
2011-01-31 11:00:00,45.02
2011-01-31 12:00:00,50.0
2011-01-31 13:00:00,53.26
2011-01-31 14:00:00,50.59
2011-01-31 15:00:00,51.75
2011-01-31 16:00:00,63.46
2011-01-31 17:00:00,122.92
2011-01-31 18:00:00,122.75
2011-01-31 19:00:00,127.79
2011-01-31 20:00:00,61.02
2011-01-31 21:00:00,41.25
2011-01-31 22:00:00,26.07
2011-01-31 23:00:00,16.62
2011-02-20 00:00:00,38.14
2011-02-20 01:00:00,26.75
2011-02-20 02:00:00,23.06
2011-02-20 03:00:00,13.0
2011-02-20 04:00:00,2.98
2011-02-20 06:00:00,3.09
2011-02-20 07:00:00,30.56
2011-02-20 08:00:00,42.46
2011-02-20 09:00:00,68.4
2011-02-20 10:00:00,83.37
2011-02-20 11:00:00,105.54
2011-02-20 12:00:00,133.02
2011-02-20 13:00:00,153.14
2011-02-20 14:00:00,145.78
2011-02-20 15:00:00,149.06
2011-02-20 16:00:00,149.06
2011-02-20 17:00:00,140.7
2011-02-20 18:00:00,117.18
2011-02-20 19:00:00,108.84
2011-02-20 20:00:00,79.76
2011-02-20 21:00:00,49.8
2011-02-20 22:00:00,42.31
2011-02-20 23:00:00,34.08
2011-02-21 00:00:00,15.53
2011-02-21 01:00:00,12.23
2011-02-21 02:00:00,12.19
2011-02-21 03:00:00,6.71
2011-02-21 04:00:00,5.58
2011-02-21 05:00:00,6.54
2011-02-21 06:00:00,31.76
2011-02-21 07:00:00,88.88
2011-02-21 08:00:00,94.73
2011-02-21 09:00:00,98.74
2011-02-21 10:00:00,89.5
2011-02-21 11:00:00,95.56
2011-02-21 12:00:00,103.4
2011-02-21 13:00:00,85.8
2011-02-21 14:00:00,104.76
2011-02-21 15:00:00,96.85
2011-02-21 16:00:00,87.29
2011-02-21 17:00:00,94.91
2011-02-21 18:00:00,78.56
2011-02-21 19:00:00,76.8
2011-02-21 20:00:00,58.82
2011-02-21 21:00:00,38.09
2011-02-21 22:00:00,25.15
2011-02-21 23:00:00,18.62
2011-02-22 06:00:00,31.4
2011-02-22 07:00:00,88.21
2011-02-22 08:00:00,164.88
2011-02-22 09:00:00,111.38
2011-02-22 10:00:00,56.34
2011-02-22 11:00:00,54.9
2011-02-22 12:00:00,61.59
2011-02-22 13:00:00,68.73
2011-02-22 14:00:00,70.91
2011-02-22 15:00:00,70.73
2011-02-22 16:00:00,74.87
2011-02-22 17:00:00,164.31
